symbol,split,observations,mrs_threshold,ree_threshold,wds_freeze,wds_unfreeze,eligible_minutes,eligible_rate,freeze_minutes,freeze_rate,unfreeze_minutes,unfreeze_rate
GBPJPY,validation,9036,65,60,65,35,35,0.00387,50,0.00553,3518,0.38933
GBPJPY,validation,9036,65,60,70,40,35,0.00387,19,0.0021,5119,0.56651
GBPJPY,validation,9036,65,60,75,45,35,0.00387,9,0.001,6675,0.73871
GBPJPY,validation,9036,65,60,80,50,35,0.00387,3,0.00033,7928,0.87738
USDJPY,training,21076,50,50,65,35,1234,0.05855,182,0.00864,9011,0.42755
USDJPY,training,21076,50,50,70,40,1234,0.05855,84,0.00399,12616,0.5986
USDJPY,training,21076,50,50,75,45,1234,0.05855,49,0.00232,15881,0.75351
USDJPY,training,21076,50,50,80,50,1234,0.05855,24,0.00114,18441,0.87498
USDJPY,training,21076,50,55,65,35,1214,0.0576,182,0.00864,9011,0.42755
USDJPY,training,21076,50,55,70,40,1214,0.0576,84,0.00399,12616,0.5986
USDJPY,training,21076,50,55,75,45,1214,0.0576,49,0.00232,15881,0.75351
USDJPY,training,21076,50,55,80,50,1214,0.0576,24,0.00114,18441,0.87498
USDJPY,training,21076,50,60,65,35,1163,0.05518,182,0.00864,9011,0.42755
USDJPY,training,21076,50,60,70,40,1163,0.05518,84,0.00399,12616,0.5986
USDJPY,training,21076,50,60,75,45,1163,0.05518,49,0.00232,15881,0.75351
USDJPY,training,21076,50,60,80,50,1163,0.05518,24,0.00114,18441,0.87498
USDJPY,training,21076,55,50,65,35,597,0.02833,182,0.00864,9011,0.42755
USDJPY,training,21076,55,50,70,40,597,0.02833,84,0.00399,12616,0.5986
USDJPY,training,21076,55,50,75,45,597,0.02833,49,0.00232,15881,0.75351
USDJPY,training,21076,55,50,80,50,597,0.02833,24,0.00114,18441,0.87498
USDJPY,training,21076,55,55,65,35,590,0.02799,182,0.00864,9011,0.42755
USDJPY,training,21076,55,55,70,40,590,0.02799,84,0.00399,12616,0.5986
