symbol,scenario,start,end,duration_minutes,mean_mrs,mean_wds,mean_ree_proxy
XAUUSD,TRANSITION,2026-01-05 18:24:00,2026-01-05 18:26:00,3,27.19,38.81,44.81
XAUUSD,WIDE_RANGE,2026-01-05 18:27:00,2026-01-05 18:27:00,1,25.79,38.85,45.86
XAUUSD,TRANSITION,2026-01-05 18:28:00,2026-01-05 18:36:00,9,37.65,30.08,56.67
XAUUSD,WIDE_RANGE,2026-01-05 18:37:00,2026-01-05 18:37:00,1,30.52,44.99,49.12
XAUUSD,TRANSITION,2026-01-05 18:38:00,2026-01-05 19:07:00,30,33.72,33.34,55.74
XAUUSD,WIDE_RANGE,2026-01-05 19:08:00,2026-01-05 19:19:00,12,25.07,45.24,48.29
XAUUSD,TRANSITION,2026-01-05 19:20:00,2026-01-05 20:09:00,50,30.33,36.48,54.81
XAUUSD,WIDE_RANGE,2026-01-05 20:10:00,2026-01-05 20:13:00,4,38.85,49.02,52.8
XAUUSD,TRANSITION,2026-01-05 20:14:00,2026-01-05 20:15:00,2,42.8,50.62,53.72
XAUUSD,WIDE_RANGE,2026-01-05 20:16:00,2026-01-05 20:21:00,6,33.42,56.37,47.02
XAUUSD,TRANSITION,2026-01-05 20:22:00,2026-01-05 20:22:00,1,40.08,42.93,54.37
XAUUSD,WIDE_RANGE,2026-01-05 20:23:00,2026-01-05 20:25:00,3,24.39,49.93,44.91
XAUUSD,TRANSITION,2026-01-05 20:26:00,2026-01-05 22:43:00,138,35.1,33.3,54.68
XAUUSD,TIGHT_RANGE,2026-01-05 22:44:00,2026-01-05 22:47:00,4,20.92,43.3,44.64
XAUUSD,LOW_LIQUIDITY,2026-01-05 22:48:00,2026-01-05 22:49:00,2,26.9,37.83,49.25
XAUUSD,TIGHT_RANGE,2026-01-05 22:50:00,2026-01-05 22:50:00,1,18.57,42.42,43.92
XAUUSD,LOW_LIQUIDITY,2026-01-05 22:51:00,2026-01-05 22:51:00,1,25.47,34.14,49.95
XAUUSD,TIGHT_RANGE,2026-01-05 22:52:00,2026-01-05 22:52:00,1,23.97,34.06,49.32
XAUUSD,LOW_LIQUIDITY,2026-01-05 22:53:00,2026-01-05 22:56:00,4,31.73,24.35,56.25
XAUUSD,TRANSITION,2026-01-05 22:57:00,2026-01-05 22:58:00,2,26.62,29.28,52.31
XAUUSD,TIGHT_RANGE,2026-01-05 22:59:00,2026-01-05 23:02:00,4,14.22,49.02,40.0
XAUUSD,TRANSITION,2026-01-05 23:03:00,2026-01-05 23:05:00,3,15.67,50.97,40.03
XAUUSD,TIGHT_RANGE,2026-01-05 23:06:00,2026-01-05 23:06:00,1,18.62,39.45,45.32
